design_id,ipsae_min,iptm,plddt,pae,interface_area,ca_rmsd,hotspot_contact_rate,shape_complementarity,binder_length
egfr_0177,0.541,0.352,0.488,22.5,602.0,3.97,0.08,0.205,77
egfr_0388,0.36,0.691,0.805,12.1,648.0,1.0,0.268,0.484,62
egfr_0390,0.376,0.694,0.833,12.5,762.0,1.19,0.295,0.521,54
egfr_0396,0.476,0.669,0.93,15.2,551.0,1.34,0.156,0.546,58
egfr_0397,0.304,0.616,0.907,10.3,769.0,1.08,0.116,0.528,60
egfr_0368,0.49,0.686,0.827,10.3,756.0,1.31,0.234,0.48,63
egfr_0254,0.387,0.609,0.742,18.9,821.0,2.91,0.086,0.46,85
egfr_0034,0.263,0.832,0.956,13.6,1207.0,1.48,0.282,0.588,86
egfr_0230,0.399,0.543,0.742,20.0,613.0,2.53,0.184,0.467,91
egfr_0044,0.167,0.768,0.941,12.5,1002.0,1.18,0.264,0.719,93
egfr_0338,0.44,0.473,0.885,17.9,976.0,0.73,0.248,0.571,81
egfr_0446,0.33,0.812,0.846,10.4,1239.0,0.86,0.18,0.604,87
egfr_0032,0.302,0.882,0.872,13.7,1147.0,1.03,0.293,0.684,90
egfr_0108,0.369,0.686,0.851,11.0,1008.0,1.23,0.217,0.571,101
egfr_0205,0.469,0.544,0.802,16.2,749.0,2.59,0.169,0.365,91
egfr_0061,0.353,0.73,0.842,13.8,888.0,1.36,0.246,0.626,105
egfr_0059,0.324,0.769,0.787,16.5,907.0,2.43,0.146,0.595,107
egfr_0328,0.51,0.341,0.868,19.0,1021.0,1.3,0.263,0.494,77
egfr_0162,0.64,0.426,0.521,24.1,495.0,3.98,0.103,0.332,85
egfr_0209,0.429,0.52,0.744,13.6,969.0,2.96,0.067,0.447,83
egfr_0122,0.368,0.729,0.819,12.5,928.0,2.12,0.188,0.537,109
egfr_0329,0.461,0.385,0.845,17.2,1052.0,1.96,0.27,0.497,79
egfr_0318,0.548,0.314,0.878,18.2,1092.0,0.98,0.302,0.515,79
egfr_0399,0.422,0.637,0.839,9.9,533.0,1.5,0.147,0.528,63
egfr_0457,0.346,0.701,0.87,11.2,850.0,1.48,0.297,0.512,104
egfr_0215,0.424,0.626,0.808,17.7,737.0,2.7,0.182,0.429,89
egfr_0134,0.612,0.431,0.584,21.8,627.0,3.55,0.143,0.32,81
egfr_0455,0.334,0.747,0.795,13.4,920.0,1.7,0.291,0.532,97
egfr_0048,0.229,0.832,0.935,9.2,1163.0,0.87,0.349,0.607,91
egfr_0413,0.321,0.827,0.861,11.8,968.0,0.25,0.026,0.518,88
egfr_0339,0.46,0.242,0.897,18.6,997.0,0.9,0.253,0.572,75
egfr_0491,0.281,0.647,0.854,12.6,852.0,1.62,0.205,0.415,104
egfr_0354,0.393,0.349,0.909,17.1,1013.0,0.9,0.281,0.469,75
egfr_0262,0.385,0.554,0.752,19.4,791.0,2.53,0.199,0.442,92
egfr_0222,0.497,0.573,0.735,15.1,947.0,3.04,0.206,0.395,87
egfr_0301,0.476,0.351,0.836,20.0,779.0,0.85,0.396,0.49,75
egfr_0038,0.301,0.833,0.834,13.5,1214.0,0.63,0.315,0.613,86
egfr_0172,0.643,0.452,0.473,25.7,514.0,3.13,0.143,0.333,82
egfr_0076,0.377,0.729,0.799,12.3,1000.0,1.69,0.236,0.482,109
egfr_0472,0.339,0.807,0.801,13.6,962.0,1.41,0.186,0.477,103
egfr_0261,0.429,0.615,0.735,15.3,794.0,3.07,0.116,0.474,93
egfr_0442,0.356,0.805,0.898,10.8,1197.0,0.44,0.127,0.697,90
egfr_0263,0.481,0.549,0.751,17.0,716.0,2.09,0.172,0.487,84
egfr_0361,0.464,0.439,0.928,17.6,1121.0,0.96,0.254,0.578,78
egfr_0280,0.368,0.514,0.752,18.0,763.0,3.04,0.162,0.337,90
egfr_0417,0.3,0.747,0.877,9.1,1211.0,0.64,0.154,0.558,88
egfr_0475,0.318,0.729,0.847,11.6,846.0,0.89,0.21,0.504,103
egfr_0288,0.524,0.268,0.835,21.9,980.0,0.42,0.224,0.516,82
egfr_0219,0.507,0.58,0.797,18.5,620.0,2.79,0.176,0.436,91
egfr_0124,0.255,0.765,0.766,14.9,820.0,1.99,0.213,0.59,104
egfr_0465,0.365,0.622,0.839,10.8,881.0,1.23,0.261,0.529,100
egfr_0332,0.523,0.346,0.873,18.7,1140.0,0.39,0.437,0.558,76
egfr_0387,0.361,0.632,0.823,14.2,623.0,1.33,0.196,0.454,57
egfr_0316,0.446,0.429,0.96,16.6,1196.0,1.0,0.327,0.435,74
egfr_0208,0.544,0.509,0.724,17.7,836.0,2.74,0.084,0.313,84
egfr_0423,0.245,0.711,0.818,10.2,990.0,1.41,0.085,0.652,82
egfr_0101,0.326,0.666,0.805,12.3,878.0,1.45,0.177,0.457,107
egfr_0144,0.659,0.397,0.605,24.1,562.0,3.72,0.053,0.244,75
egfr_0383,0.414,0.716,0.839,11.9,718.0,1.07,0.2,0.598,62
egfr_0292,0.498,0.351,0.916,19.6,1030.0,0.85,0.263,0.476,77
egfr_0464,0.332,0.624,0.805,14.9,898.0,1.66,0.206,0.545,97
egfr_0193,0.39,0.569,0.775,15.0,710.0,2.7,0.19,0.428,88
egfr_0030,0.239,0.82,0.887,11.0,1338.0,0.95,0.335,0.617,87
egfr_0293,0.539,0.376,0.941,21.5,1031.0,0.92,0.223,0.443,76
egfr_0485,0.304,0.591,0.766,11.7,960.0,1.91,0.246,0.424,95
egfr_0218,0.48,0.461,0.754,14.5,605.0,2.5,0.09,0.39,88
egfr_0045,0.256,0.857,0.936,8.4,1263.0,0.96,0.28,0.71,85
egfr_0289,0.586,0.351,0.883,16.8,907.0,1.11,0.269,0.514,81
egfr_0362,0.494,0.402,0.874,19.0,1095.0,1.54,0.275,0.416,78
egfr_0224,0.396,0.603,0.724,15.4,697.0,2.57,0.177,0.456,91
egfr_0277,0.426,0.563,0.731,18.4,649.0,2.45,0.019,0.23,91
egfr_0189,0.468,0.483,0.58,20.9,766.0,3.61,0.111,0.307,83
egfr_0429,0.368,0.79,0.882,6.0,1058.0,1.06,0.024,0.602,86
egfr_0299,0.501,0.422,0.891,22.7,1035.0,0.76,0.291,0.496,83
egfr_0039,0.21,0.829,0.854,9.7,1231.0,1.06,0.343,0.559,88
egfr_0248,0.422,0.515,0.857,16.7,927.0,2.39,0.164,0.507,92
egfr_0347,0.553,0.44,0.9,20.8,1068.0,1.19,0.254,0.424,81
egfr_0013,0.125,0.855,0.934,7.6,1510.0,0.81,0.355,0.639,72
egfr_0105,0.404,0.626,0.835,11.6,973.0,1.5,0.244,0.585,110
egfr_0375,0.435,0.594,0.868,13.3,734.0,1.47,0.25,0.441,55
egfr_0090,0.333,0.697,0.86,12.3,921.0,1.4,0.174,0.556,107
egfr_0089,0.374,0.645,0.828,13.3,890.0,1.82,0.243,0.529,101
egfr_0190,0.479,0.441,0.503,23.0,533.0,4.01,0.104,0.346,75
egfr_0393,0.349,0.756,0.916,14.4,867.0,1.47,0.204,0.494,58
egfr_0271,0.526,0.572,0.786,17.8,889.0,3.14,0.224,0.365,91
egfr_0297,0.494,0.349,0.865,18.3,1026.0,0.58,0.31,0.542,83
egfr_0363,0.526,0.296,0.909,21.5,996.0,0.99,0.341,0.417,73
egfr_0420,0.28,0.691,0.872,7.5,962.0,0.69,0.141,0.611,82
egfr_0159,0.566,0.444,0.607,24.1,434.0,3.9,0.103,0.224,84
egfr_0444,0.241,0.74,0.915,10.0,1115.0,0.72,0.114,0.705,84
egfr_0259,0.373,0.642,0.741,15.2,668.0,2.58,0.154,0.404,89
egfr_0197,0.516,0.542,0.769,14.4,741.0,2.74,0.021,0.421,92
egfr_0309,0.489,0.485,0.857,18.3,1016.0,0.99,0.299,0.477,75
egfr_0474,0.241,0.647,0.845,7.9,793.0,1.49,0.24,0.474,96
egfr_0052,0.192,0.83,0.908,7.8,1152.0,0.63,0.285,0.735,92
egfr_0074,0.277,0.695,0.887,15.9,747.0,1.73,0.18,0.525,107
egfr_0448,0.215,0.832,0.878,9.6,1072.0,0.89,0.169,0.606,84
egfr_0147,0.569,0.405,0.57,24.7,586.0,4.27,0.04,0.189,77
egfr_0419,0.276,0.819,0.9,10.1,973.0,0.64,0.164,0.551,90
egfr_0213,0.373,0.515,0.786,21.0,899.0,2.46,0.129,0.398,93
egfr_0411,0.41,0.746,0.872,8.4,1359.0,0.82,0.074,0.628,86
egfr_0482,0.397,0.669,0.781,13.8,969.0,1.42,0.211,0.458,104
egfr_0068,0.32,0.77,0.809,15.1,903.0,1.88,0.218,0.616,104
egfr_0303,0.536,0.366,0.904,20.2,1079.0,0.65,0.239,0.457,79
egfr_0407,0.434,0.723,0.895,16.8,594.0,1.51,0.236,0.442,54
egfr_0324,0.519,0.363,0.896,19.0,1211.0,1.2,0.286,0.533,79
egfr_0401,0.393,0.666,0.83,12.6,712.0,1.28,0.232,0.591,59
egfr_0290,0.395,0.429,0.911,17.9,1014.0,1.22,0.255,0.492,80
egfr_0431,0.239,0.737,0.874,11.5,992.0,1.27,0.092,0.624,90
egfr_0040,0.252,0.825,0.842,13.0,1229.0,1.15,0.268,0.611,93
egfr_0131,0.541,0.459,0.539,24.4,513.0,4.44,0.015,0.221,77
egfr_0071,0.276,0.757,0.8,15.7,940.0,1.93,0.254,0.572,101
egfr_0006,0.218,0.891,0.966,5.0,1169.0,0.96,0.404,0.81,80
egfr_0175,0.531,0.42,0.491,22.4,613.0,4.13,0.141,0.279,82
egfr_0421,0.32,0.758,0.933,9.2,1121.0,1.06,0.093,0.659,82
egfr_0335,0.47,0.342,0.903,20.2,1034.0,0.96,0.236,0.506,82
egfr_0077,0.359,0.78,0.789,13.7,1144.0,1.0,0.206,0.615,109
egfr_0002,0.142,0.904,0.946,9.2,1203.0,0.62,0.364,0.72,77
egfr_0220,0.379,0.577,0.74,15.2,837.0,2.61,0.175,0.409,89
egfr_0302,0.428,0.412,0.846,21.2,1103.0,1.3,0.299,0.498,82
egfr_0488,0.317,0.727,0.772,11.7,843.0,1.66,0.205,0.541,104
egfr_0355,0.59,0.334,0.919,21.5,1157.0,0.98,0.35,0.499,82
egfr_0073,0.345,0.743,0.84,14.3,957.0,1.75,0.191,0.541,100
egfr_0009,0.149,1,0.965,5.3,1294.0,0.55,0.428,0.742,74
egfr_0294,0.48,0.359,0.913,20.8,1168.0,1.19,0.226,0.493,73
egfr_0372,0.43,0.749,0.918,10.4,724.0,0.92,0.18,0.456,53
egfr_0115,0.364,0.702,0.81,10.7,1043.0,1.66,0.204,0.569,101
egfr_0116,0.438,0.691,0.853,13.8,780.0,1.09,0.273,0.564,102
egfr_0246,0.504,0.536,0.753,20.6,692.0,3.34,0.285,0.475,93
egfr_0066,0.275,0.752,0.861,12.7,994.0,1.35,0.177,0.556,109
egfr_0369,0.363,0.785,0.886,10.7,697.0,1.55,0.151,0.511,62
egfr_0454,0.373,0.652,0.753,16.0,767.0,0.93,0.237,0.388,96
egfr_0266,0.423,0.463,0.676,15.0,808.0,2.94,0.135,0.374,92
egfr_0458,0.237,0.62,0.774,12.3,1022.0,1.64,0.301,0.444,95
egfr_0310,0.499,0.373,0.833,18.6,1066.0,1.35,0.376,0.527,76
egfr_0358,0.506,0.232,0.936,18.8,1116.0,1.15,0.235,0.49,79
egfr_0281,0.427,0.542,0.802,19.8,792.0,2.54,0.156,0.387,90
egfr_0304,0.455,0.373,0.858,18.1,1074.0,1.1,0.379,0.554,75
egfr_0111,0.324,0.67,0.76,9.7,885.0,2.06,0.187,0.493,107
egfr_0330,0.509,0.304,0.846,19.4,1151.0,0.82,0.256,0.52,78
egfr_0106,0.339,0.695,0.876,14.6,1121.0,1.83,0.277,0.56,102
egfr_0311,0.546,0.364,0.912,19.4,1076.0,0.98,0.306,0.425,83
egfr_0498,0.292,0.647,0.811,15.0,936.0,1.09,0.224,0.509,99
egfr_0371,0.335,0.685,0.854,14.2,655.0,1.73,0.289,0.499,56
egfr_0346,0.493,0.287,0.904,19.5,935.0,0.77,0.268,0.501,83
egfr_0091,0.303,0.704,0.872,11.9,1095.0,1.29,0.215,0.637,106
egfr_0345,0.415,0.377,0.898,20.1,1047.0,1.14,0.223,0.588,75
egfr_0154,0.538,0.411,0.536,20.9,669.0,3.55,0.236,0.233,82
egfr_0470,0.32,0.681,0.915,18.7,917.0,1.12,0.197,0.521,103
egfr_0489,0.341,0.742,0.825,12.0,918.0,1.12,0.223,0.429,102
egfr_0207,0.486,0.576,0.69,18.0,918.0,3.39,0.179,0.396,93
egfr_0087,0.351,0.718,0.86,11.4,1064.0,1.82,0.188,0.509,107
egfr_0376,0.481,0.645,0.844,11.3,714.0,1.9,0.128,0.57,58
egfr_0103,0.309,0.731,0.908,13.0,1027.0,1.88,0.204,0.582,104
egfr_0478,0.311,0.579,0.847,14.3,900.0,1.82,0.263,0.5,96
egfr_0344,0.451,0.352,0.872,19.7,852.0,1.08,0.236,0.438,75
egfr_0043,0.13,0.809,0.843,5.1,1145.0,1.0,0.189,0.701,90
egfr_0370,0.428,0.716,0.82,9.2,578.0,1.61,0.187,0.493,54
egfr_0110,0.412,0.725,0.773,13.8,888.0,1.35,0.282,0.443,101
egfr_0171,0.607,0.467,0.459,24.1,737.0,3.58,0.034,0.308,75
egfr_0180,0.591,0.328,0.616,25.4,552.0,3.54,0.08,0.238,83
egfr_0118,0.449,0.722,0.843,13.8,950.0,1.89,0.224,0.54,100
egfr_0173,0.598,0.424,0.527,21.1,524.0,4.06,0.04,0.234,80
egfr_0379,0.485,0.672,0.882,12.4,721.0,1.16,0.259,0.542,55
egfr_0148,0.547,0.477,0.543,24.4,772.0,3.71,0.048,0.322,76
egfr_0307,0.527,0.352,0.937,20.2,981.0,1.3,0.297,0.465,78
egfr_0028,0.222,0.887,0.849,8.1,1045.0,1.02,0.331,0.637,90
egfr_0480,0.403,0.618,0.811,12.3,970.0,1.87,0.2,0.476,104
egfr_0461,0.331,0.571,0.887,14.4,826.0,1.34,0.332,0.483,95
egfr_0202,0.402,0.49,0.73,16.7,753.0,3.18,0.171,0.533,87
egfr_0192,0.438,0.466,0.723,19.0,691.0,2.72,0.132,0.394,91
egfr_0237,0.405,0.592,0.73,18.7,633.0,2.77,0.265,0.482,90
egfr_0348,0.496,0.39,0.891,20.6,878.0,0.75,0.307,0.539,79
egfr_0161,0.582,0.445,0.524,25.8,594.0,3.72,0.13,0.23,83
egfr_0476,0.414,0.686,0.84,13.9,814.0,0.91,0.353,0.533,102
egfr_0064,0.39,0.665,0.913,17.0,969.0,1.43,0.187,0.571,108
egfr_0169,0.563,0.447,0.506,21.2,643.0,3.57,0.146,0.306,81
egfr_0353,0.446,0.38,0.92,18.3,1134.0,0.77,0.375,0.551,73
egfr_0449,0.32,0.726,0.846,9.7,1046.0,0.76,0.046,0.542,88
egfr_0484,0.305,0.634,0.86,11.7,923.0,1.54,0.218,0.463,96
egfr_0264,0.487,0.469,0.71,18.8,700.0,2.63,0.107,0.333,89
egfr_0416,0.337,0.774,0.895,4.4,1077.0,0.85,0.181,0.653,83
egfr_0060,0.412,0.728,0.867,13.0,848.0,1.28,0.182,0.482,103
egfr_0186,0.49,0.43,0.507,21.5,652.0,3.85,0.047,0.301,78
egfr_0258,0.43,0.569,0.735,19.7,848.0,2.92,0.099,0.427,84
egfr_0025,0.212,0.907,0.84,10.1,1466.0,0.94,0.225,0.623,87
egfr_0133,0.62,0.455,0.508,25.9,472.0,3.84,0.148,0.294,84
egfr_0056,0.425,0.621,0.772,14.6,820.0,1.58,0.236,0.585,106
egfr_0020,0.21,0.877,0.818,8.7,1247.0,0.94,0.302,0.707,91
egfr_0436,0.272,0.838,0.9,9.0,977.0,1.23,0.07,0.618,83
egfr_0352,0.561,0.392,0.905,18.1,1053.0,0.78,0.326,0.518,81
egfr_0434,0.32,0.789,0.869,6.4,1149.0,0.8,0.072,0.589,90
egfr_0257,0.502,0.554,0.762,14.3,458.0,2.46,0.153,0.461,93
egfr_0365,0.526,0.297,0.876,19.2,1145.0,1.06,0.254,0.483,80
egfr_0136,0.529,0.442,0.551,23.8,528.0,3.93,0.074,0.248,81
egfr_0322,0.474,0.424,0.868,19.2,1085.0,0.87,0.248,0.372,79
egfr_0158,0.636,0.439,0.532,29.4,603.0,3.85,0.187,0.24,85
egfr_0295,0.469,0.263,0.932,19.8,1076.0,1.08,0.22,0.554,74
egfr_0015,0.179,0.867,0.921,6.6,1161.0,1.46,0.393,0.735,73
egfr_0182,0.641,0.519,0.535,27.8,539.0,3.77,0.129,0.296,83
egfr_0204,0.504,0.602,0.669,21.3,854.0,2.12,0.164,0.361,87
egfr_0312,0.461,0.371,0.835,21.6,1045.0,1.12,0.239,0.542,73
egfr_0211,0.358,0.481,0.728,19.4,673.0,2.52,0.171,0.383,91
egfr_0389,0.398,0.697,0.881,13.3,704.0,1.52,0.187,0.515,59
egfr_0245,0.468,0.564,0.765,18.6,569.0,2.71,0.145,0.45,88
egfr_0386,0.329,0.73,0.867,9.7,654.0,1.25,0.294,0.58,53
egfr_0143,0.668,0.453,0.591,24.9,705.0,3.47,0.044,0.278,83
egfr_0428,0.279,0.83,0.863,10.7,1320.0,1.45,0.109,0.559,90
egfr_0016,0.307,0.736,0.92,10.7,1303.0,1.41,0.303,0.624,92
egfr_0164,0.628,0.433,0.474,25.4,597.0,3.89,0.104,0.353,76
egfr_0206,0.441,0.524,0.71,15.7,757.0,3.25,0.08,0.386,83
egfr_0337,0.515,0.254,0.955,16.1,883.0,1.51,0.262,0.514,77
egfr_0320,0.483,0.386,0.914,20.6,1075.0,0.61,0.297,0.525,80
egfr_0214,0.567,0.63,0.657,18.2,848.0,2.81,0.113,0.413,88
egfr_0228,0.45,0.565,0.704,18.4,755.0,2.28,0.251,0.522,86
egfr_0493,0.336,0.66,0.843,14.5,894.0,0.9,0.262,0.529,96
egfr_0126,0.288,0.697,0.797,12.3,1017.0,1.89,0.188,0.478,100
egfr_0168,0.526,0.488,0.544,21.7,688.0,4.0,0.163,0.227,81
egfr_0054,0.199,0.839,0.889,11.5,1096.0,1.49,0.387,0.686,91
egfr_0404,0.313,0.652,0.825,13.0,764.0,0.81,0.245,0.483,62
egfr_0239,0.51,0.524,0.73,18.1,703.0,3.06,0.179,0.349,93
egfr_0004,0.159,0.929,0.917,7.9,1347.0,0.89,0.355,0.777,76
egfr_0019,0.224,0.855,0.931,10.7,1179.0,1.85,0.312,0.635,88
egfr_0382,0.445,0.627,0.853,12.4,843.0,1.31,0.235,0.621,57
egfr_0156,0.516,0.341,0.502,22.7,731.0,3.32,0.081,0.363,79
egfr_0114,0.297,0.642,0.759,9.9,922.0,2.15,0.241,0.603,103
egfr_0296,0.538,0.379,0.878,21.9,1129.0,0.44,0.233,0.442,74
egfr_0450,0.299,0.894,0.877,12.0,1138.0,0.75,0.128,0.519,80
egfr_0132,0.618,0.478,0.505,21.6,559.0,3.51,0.063,0.294,83
egfr_0481,0.362,0.724,0.756,15.2,990.0,1.46,0.305,0.414,102
egfr_0305,0.452,0.339,0.84,17.2,1034.0,0.9,0.254,0.423,76
egfr_0473,0.287,0.797,0.873,8.3,1030.0,1.01,0.181,0.445,101
egfr_0051,0.287,0.815,0.96,8.2,1029.0,0.89,0.206,0.647,93
egfr_0326,0.475,0.359,0.952,17.9,1036.0,1.08,0.251,0.507,82
egfr_0456,0.277,0.638,0.87,15.6,1019.0,1.21,0.294,0.5,97
egfr_0334,0.51,0.344,0.86,15.4,931.0,0.85,0.336,0.638,80
egfr_0104,0.443,0.733,0.826,13.2,1065.0,1.31,0.338,0.532,107
egfr_0422,0.267,0.741,0.839,12.8,1133.0,1.14,0.093,0.635,90
egfr_0092,0.303,0.794,0.83,13.1,921.0,1.13,0.166,0.515,102
egfr_0067,0.339,0.817,0.838,12.3,1005.0,1.55,0.163,0.565,106
egfr_0023,0.22,0.933,0.806,10.9,1119.0,1.17,0.395,0.65,86
egfr_0035,0.312,0.867,0.921,8.1,1217.0,0.86,0.316,0.671,89
egfr_0268,0.465,0.632,0.693,16.4,768.0,3.09,0.077,0.417,91
egfr_0050,0.246,0.747,0.83,10.1,1194.0,1.12,0.337,0.692,93
egfr_0463,0.287,0.66,0.79,12.4,664.0,0.8,0.223,0.5,103
egfr_0343,0.484,0.306,0.905,16.9,1153.0,1.1,0.254,0.515,79
egfr_0210,0.5,0.549,0.656,17.6,972.0,2.64,0.155,0.395,92
egfr_0308,0.561,0.412,0.88,24.1,1053.0,0.93,0.294,0.463,74
egfr_0445,0.339,0.804,0.902,11.0,1174.0,1.01,0.238,0.588,90
egfr_0336,0.508,0.375,0.872,15.6,1099.0,0.78,0.346,0.509,75
egfr_0255,0.447,0.506,0.753,17.6,716.0,3.06,0.147,0.426,85
egfr_0269,0.552,0.691,0.717,17.7,787.0,2.74,0.19,0.329,88
egfr_0313,0.539,0.432,0.989,19.4,1152.0,1.14,0.261,0.595,78
egfr_0199,0.453,0.615,0.742,16.3,653.0,2.91,0.121,0.418,91
egfr_0276,0.508,0.517,0.734,16.0,754.0,2.95,0.131,0.42,89
egfr_0033,0.24,0.888,0.876,11.8,1310.0,0.87,0.344,0.679,89
egfr_0453,0.335,0.682,0.819,12.5,881.0,1.34,0.235,0.473,99
egfr_0486,0.346,0.733,0.918,12.9,741.0,1.35,0.259,0.439,103
egfr_0187,0.565,0.443,0.543,21.7,712.0,3.78,0.032,0.33,83
egfr_0452,0.293,0.636,0.831,13.9,848.0,1.09,0.189,0.441,101
egfr_0095,0.369,0.65,0.89,17.2,1132.0,2.25,0.219,0.57,107
egfr_0195,0.422,0.547,0.767,16.8,830.0,2.69,0.096,0.443,87
egfr_0260,0.416,0.61,0.762,15.8,657.0,3.28,0.236,0.296,85
egfr_0001,0.113,0.891,0.936,7.9,1337.0,0.35,0.397,0.757,76
egfr_0233,0.513,0.537,0.77,18.6,792.0,3.21,0.236,0.355,84
egfr_0188,0.539,0.403,0.489,23.3,621.0,3.94,0.088,0.328,84
egfr_0315,0.586,0.349,0.884,17.5,1066.0,0.84,0.29,0.495,81
egfr_0490,0.358,0.649,0.827,15.8,937.0,1.54,0.266,0.438,105
egfr_0152,0.526,0.333,0.48,21.2,656.0,3.96,0.075,0.214,77
egfr_0231,0.316,0.554,0.806,16.4,770.0,2.54,0.125,0.414,89
egfr_0350,0.524,0.314,0.853,21.4,1027.0,0.89,0.249,0.491,79
egfr_0272,0.464,0.576,0.656,15.6,762.0,3.1,0.179,0.466,89
egfr_0467,0.368,0.656,0.866,13.6,924.0,1.44,0.142,0.576,104
egfr_0083,0.341,0.713,0.838,16.0,1035.0,1.39,0.314,0.561,104
egfr_0284,0.43,0.528,0.767,18.5,759.0,2.9,0.126,0.433,91
egfr_0141,0.583,0.366,0.566,21.8,528.0,3.48,0.146,0.227,77
egfr_0240,0.493,0.534,0.754,15.2,723.0,2.31,0.071,0.42,88
egfr_0384,0.327,0.672,0.852,11.5,796.0,1.29,0.22,0.49,59
egfr_0179,0.44,0.449,0.577,26.0,712.0,3.92,0.088,0.224,81
egfr_0412,0.217,0.697,0.793,9.7,1017.0,0.92,0.095,0.557,83
egfr_0447,0.313,0.755,0.872,8.6,1093.0,1.22,0.07,0.567,85
egfr_0291,0.525,0.247,0.891,19.4,916.0,0.59,0.395,0.512,75
egfr_0098,0.359,0.71,0.881,14.2,1254.0,1.21,0.229,0.497,101
egfr_0251,0.475,0.507,0.779,16.4,752.0,2.64,0.23,0.394,91
egfr_0278,0.471,0.586,0.78,21.0,603.0,2.39,0.205,0.383,86
egfr_0151,0.584,0.447,0.588,24.8,758.0,4.11,0.153,0.191,75
egfr_0287,0.54,0.275,0.869,17.9,980.0,0.89,0.233,0.528,83
egfr_0374,0.336,0.746,0.838,9.9,445.0,1.41,0.193,0.553,55
egfr_0249,0.435,0.552,0.831,19.6,854.0,2.57,0.262,0.424,88
egfr_0021,0.228,0.841,0.842,10.4,992.0,1.3,0.233,0.522,86
egfr_0408,0.381,0.665,0.82,10.3,831.0,1.74,0.156,0.538,61
egfr_0069,0.293,0.699,0.841,14.4,844.0,1.91,0.233,0.607,107
egfr_0184,0.567,0.353,0.548,20.8,631.0,3.74,0.169,0.3,84
egfr_0492,0.296,0.649,0.765,14.4,813.0,1.7,0.3,0.469,97
egfr_0011,0.098,0.899,0.958,6.8,1227.0,0.42,0.364,0.779,76
egfr_0409,0.419,0.724,0.848,12.4,855.0,1.07,0.161,0.526,55
egfr_0441,0.212,0.797,0.913,12.4,1180.0,0.77,0.073,0.653,88
egfr_0178,0.596,0.363,0.539,23.9,734.0,4.21,0.163,0.29,80
egfr_0286,0.585,0.33,0.999,16.9,1085.0,0.88,0.305,0.472,78
egfr_0163,0.55,0.367,0.457,26.8,451.0,3.66,0.09,0.28,82
egfr_0438,0.239,0.775,0.866,10.7,1231.0,1.28,0.055,0.624,82
egfr_0250,0.484,0.553,0.796,20.4,849.0,2.18,0.13,0.461,92
egfr_0443,0.318,0.769,0.917,10.3,1230.0,1.08,0.045,0.657,80
egfr_0055,0.275,0.783,0.854,5.8,1160.0,0.91,0.347,0.652,91
egfr_0275,0.431,0.596,0.735,18.1,684.0,3.07,0.185,0.466,87
